height,weight,rank
175,101,3rd
174,97,3rd
194,53,4th
203,89,1st
202,45,4th
188,110,3rd
167,94,3rd
170,87,3rd
138,105,6th
198,48,4th
195,56,4th
205,98,4th
184,78,1st
162,48,3rd
189,103,2nd
143,102,5th
206,76,4th
163,47,3rd
189,109,3rd
179,76,1st
169,59,1st
204,78,4th
171,62,1st
141,104,5th
145,80,5th
145,89,5th
202,74,3rd
147,74,4th
186,73,1st
159,68,2nd
160,101,4th
154,94,4th
182,61,3rd
184,55,3rd
197,84,1st
162,97,4th
156,105,4th
171,93,3rd
194,67,3rd
167,68,1st
160,69,2nd
162,50,2nd
186,69,2nd
199,95,1st
164,101,4th
143,101,5th
183,96,2nd
197,48,4th
142,45,5th
200,57,4th
189,74,1st
191,83,1st
194,56,4th
198,56,4th
152,84,4th
156,66,4th
175,86,2nd
190,86,1st
186,93,2nd
147,74,4th
200,60,4th
162,88,3rd
200,75,2nd
202,78,2nd
149,89,4th
161,74,2nd
194,78,1st
197,58,4th
152,60,4th
152,81,4th
198,105,2nd
140,107,6th
162,70,2nd
167,57,1st
142,96,5th
171,52,3rd
200,62,4th
174,80,2nd
160,71,2nd
168,93,3rd
140,77,6th
199,107,2nd
142,64,5th
191,46,4th
174,87,2nd
200,109,2nd
138,64,6th
185,75,1st
139,91,6th
153,86,4th
206,53,4th
162,87,3rd
143,72,5th
147,45,4th
179,61,2nd
138,103,6th
175,97,3rd
165,97,4th
145,96,5th
198,46,4th
152,79,4th
183,103,3rd
204,73,4th
143,45,5th
169,107,4th
182,106,3rd
177,89,2nd
146,48,4th
205,95,4th
137,82,6th
180,71,1st
193,110,2nd
145,47,5th
163,86,3rd
162,51,2nd
138,61,6th
178,81,2nd
191,56,4th
140,96,6th
181,89,2nd
148,97,4th
158,89,4th
197,106,2nd
142,46,5th
167,99,4th
184,79,1st
180,80,1st
190,76,1st
156,75,4th
170,73,2nd
191,95,2nd
176,83,2nd
146,91,4th
190,101,2nd
200,82,1st
184,47,4th
153,71,4th
135,98,6th
151,50,4th
161,62,1st
149,60,4th
167,55,2nd
162,109,4th
190,80,1st
201,93,1st
197,48,4th
153,47,4th
170,72,1st
187,73,1st
195,60,4th
185,71,1st
185,56,3rd
184,65,2nd
146,58,4th
200,59,4th
159,103,4th
139,81,6th
193,69,2nd
200,55,4th
195,107,2nd
154,104,4th
180,93,2nd
170,77,2nd
190,67,2nd
169,83,2nd
162,95,4th
186,87,2nd
165,109,4th
160,96,4th
137,69,6th
142,78,5th
182,109,3rd
175,84,2nd
195,79,1st
201,101,1st
190,90,1st
166,84,3rd
193,50,4th
162,90,3rd
161,88,3rd
187,97,2nd
206,72,4th
163,58,1st
158,63,4th
169,83,2nd
150,62,4th
166,102,4th
162,97,4th
185,71,1st
151,69,4th
139,105,6th
137,80,6th
142,72,5th
159,100,4th
136,82,6th
135,90,6th
173,50,3rd
145,88,5th
197,94,1st
162,84,3rd
155,110,4th
196,84,1st
140,94,6th
190,68,2nd
157,64,4th
187,106,3rd
159,106,4th
197,81,1st
142,101,5th
198,60,4th
161,49,2nd
166,107,4th
178,80,2nd
181,52,4th
136,66,6th
143,107,5th
179,68,1st
163,97,4th
181,56,3rd
160,107,4th
183,96,2nd
138,46,6th
159,65,2nd
182,88,2nd
192,47,4th
161,83,3rd
143,49,5th
197,109,2nd
158,47,4th
183,54,3rd
194,49,4th
153,72,4th
198,69,3rd
194,49,4th
170,103,4th
179,67,1st
203,71,3rd
175,61,2nd
152,74,4th
205,99,4th
166,78,2nd
135,100,6th
162,95,4th
203,59,4th
191,91,1st
196,47,4th
179,87,2nd
185,108,3rd
184,71,1st
153,88,4th
186,94,2nd
181,101,3rd
166,89,3rd
155,58,4th
152,82,4th
179,50,4th
178,86,2nd
183,104,3rd
136,108,6th
151,91,4th
152,85,4th
201,97,1st
164,102,4th
155,60,4th
192,81,1st
188,82,1st
200,52,4th
141,54,5th
203,73,3rd
201,101,1st
187,84,1st
178,74,1st
169,103,4th
190,93,2nd
156,85,4th
165,52,2nd
171,87,2nd
162,63,1st
202,82,1st
196,83,1st
166,45,3rd
151,59,4th
192,90,1st
153,103,4th
199,98,1st
149,93,4th
144,83,5th
190,51,4th
206,56,4th
183,85,2nd
164,58,1st
174,48,4th
206,56,4th
166,63,1st
142,78,5th
156,45,4th
158,54,4th
158,71,4th
183,50,4th
202,70,3rd
205,88,4th
178,84,2nd
190,82,1st
162,84,3rd
155,65,4th
204,104,4th
140,103,6th
170,97,3rd
154,94,4th
171,67,1st
138,81,6th
173,48,3rd
202,109,2nd
149,103,4th
156,82,4th
189,67,2nd
149,81,4th
143,92,5th
196,45,4th
148,95,4th
149,45,4th
199,69,3rd
199,64,3rd
158,53,4th
163,92,3rd
137,62,6th
201,103,2nd
173,62,1st
184,48,4th
170,74,2nd
174,73,1st
183,95,2nd
137,67,6th
137,65,6th
181,85,2nd
205,72,4th
145,99,5th
185,94,2nd
159,66,2nd
136,85,6th
157,98,4th
137,81,6th
141,67,5th
172,92,3rd
166,62,1st
168,67,1st
193,68,3rd
175,78,2nd
204,73,4th
175,56,3rd
173,75,2nd
182,78,1st
157,75,4th
183,92,2nd
150,53,4th
174,60,2nd
199,91,1st
158,79,4th
184,76,1st
151,77,4th
147,107,4th
179,99,3rd
166,64,1st
157,89,4th
145,71,5th
146,78,4th
152,58,4th
163,94,4th
172,60,1st
155,103,4th
173,48,3rd
167,104,4th
174,68,1st
170,107,4th
177,63,1st
143,52,5th
148,50,4th
149,52,4th
149,55,4th
144,69,5th
136,77,6th
199,63,4th
185,66,2nd
138,69,6th
189,55,4th
183,49,4th
137,97,6th
142,90,5th
174,66,1st
149,78,4th
158,64,4th
202,58,4th
195,95,1st
172,108,4th
165,51,2nd
185,45,4th
164,57,1st
179,56,3rd
183,60,3rd
159,85,3rd
166,72,2nd
168,93,3rd
167,79,2nd
168,64,1st
180,66,1st
155,99,4th
165,67,1st
175,70,1st
191,93,2nd
150,52,4th
152,109,4th
180,48,4th
181,61,2nd
168,79,2nd
151,78,4th
163,45,3rd
151,96,4th
159,99,4th
203,109,2nd
196,61,4th
152,48,4th
149,82,4th
181,58,3rd
180,50,4th
185,77,1st
138,100,6th
181,109,3rd
192,58,4th
157,95,4th
201,62,4th
182,54,3rd
179,87,2nd
143,107,5th
155,64,4th
163,46,3rd
196,50,4th
199,46,4th
200,60,4th
199,107,2nd
166,58,1st
135,106,6th
138,75,6th
195,94,1st
151,78,4th
175,81,2nd
182,107,3rd
160,45,3rd
167,110,4th
135,65,6th
147,96,4th
185,83,1st
204,68,4th
144,89,5th
147,66,4th
150,60,4th
167,71,2nd
142,87,5th
190,95,2nd
188,62,3rd
173,81,2nd
205,67,4th
155,65,4th
181,97,2nd
198,69,3rd
166,109,4th
138,88,6th
203,60,4th
185,76,1st
182,90,2nd
143,62,5th
199,77,2nd
171,103,4th
135,63,6th
181,96,2nd
186,67,2nd
178,61,2nd
200,96,1st
206,109,4th
185,108,3rd
174,108,4th
171,105,4th
180,47,4th
145,52,5th
174,55,3rd
173,65,1st
191,99,2nd
143,74,5th
197,60,4th
176,65,1st
146,101,4th
197,92,1st
135,97,6th
175,57,2nd
179,79,1st
202,50,4th
158,87,4th
174,67,1st
140,56,6th
200,47,4th
142,73,5th
144,103,5th
161,102,4th
184,101,2nd
172,90,3rd
168,92,3rd
198,76,2nd
198,50,4th
204,79,4th
142,107,5th
177,51,3rd
140,52,6th
182,93,2nd
168,47,3rd
141,107,5th
192,76,1st
186,98,2nd
188,56,4th
190,88,1st
137,99,6th
147,53,4th
163,63,1st
187,88,2nd
199,55,4th
151,55,4th
161,57,1st
174,88,2nd
136,51,6th
165,95,3rd
154,49,4th
145,59,5th
149,61,4th
150,49,4th
169,89,3rd
153,61,4th
189,47,4th
153,83,4th
139,51,6th
182,77,1st
162,64,1st
169,54,2nd
144,55,5th
137,52,6th
204,46,4th
205,70,4th
168,57,1st
173,75,2nd
140,53,6th
172,109,4th
152,70,4th
173,62,1st
170,101,3rd
181,63,2nd
146,49,4th
201,75,2nd
204,75,4th
174,75,1st
179,83,2nd
174,108,4th
193,73,2nd
188,55,4th
135,63,6th
153,80,4th
173,77,2nd
199,94,1st
185,99,2nd
137,51,6th
177,91,2nd
190,55,4th
168,95,3rd
170,53,3rd
174,57,2nd
155,61,4th
168,75,2nd
147,45,4th
169,57,2nd
202,48,4th
143,52,5th
205,63,4th
143,46,5th
143,55,5th
144,93,5th
195,52,4th
142,47,5th
184,79,1st
192,104,2nd
135,64,6th
183,68,1st
193,59,4th
157,46,4th
176,54,3rd
173,68,1st
188,65,3rd
180,54,3rd
193,83,1st
157,67,4th
188,69,2nd
176,55,3rd
192,97,2nd
165,71,2nd
138,89,6th
150,86,4th
199,75,2nd
156,108,4th
200,59,4th
202,58,4th
151,58,4th
138,88,6th
148,76,4th
158,50,4th
173,78,2nd
148,100,4th
148,107,4th
166,110,4th
143,98,5th
205,104,4th
148,85,4th
202,96,1st
194,101,2nd
173,84,2nd
142,57,5th
199,69,3rd
175,77,2nd
191,86,1st
165,93,3rd
197,102,2nd
182,92,2nd
193,59,4th
200,87,1st
143,108,5th
149,94,4th
164,57,1st
179,80,1st
148,62,4th
157,70,4th
176,52,3rd
135,101,6th
159,76,3rd
203,48,4th
172,103,3rd
149,55,4th
160,88,3rd
188,96,2nd
184,92,2nd
140,86,6th
179,85,2nd
142,77,5th
144,62,5th
205,83,4th
189,52,4th
204,66,4th
137,94,6th
163,70,2nd
184,63,2nd
188,90,2nd
152,45,4th
205,91,4th
145,84,5th
158,72,4th
142,75,5th
163,47,3rd
154,99,4th
174,47,4th
189,50,4th
142,100,5th
178,47,4th
156,96,4th
164,109,4th
140,107,6th
201,104,2nd
191,46,4th
141,97,5th
191,99,2nd
137,109,6th
162,70,2nd
174,110,4th
163,77,2nd
182,105,3rd
171,81,2nd
166,77,2nd
192,90,1st
153,102,4th
195,62,3rd
165,65,1st
162,69,2nd
168,107,4th
146,53,4th
138,105,6th
177,71,1st
197,49,4th
190,81,1st
189,105,2nd
175,105,3rd
146,70,4th
190,57,4th
162,76,2nd
195,81,1st
169,75,2nd
151,83,4th
152,45,4th
148,60,4th
167,67,1st
145,90,5th
171,82,2nd
154,62,4th
167,71,2nd
137,109,6th
135,110,6th
206,82,4th
202,57,4th
150,95,4th
140,75,6th
196,83,1st
143,101,5th
169,84,2nd
146,46,4th
185,99,2nd
158,59,4th
145,73,5th
151,53,4th
203,96,1st
180,46,4th
203,92,1st
193,64,3rd
178,99,3rd
153,46,4th
160,53,1st
195,109,2nd
139,53,6th
180,64,2nd
180,51,4th
199,94,1st
179,86,2nd
201,87,1st
185,74,1st
168,96,3rd
204,62,4th
168,75,2nd
180,82,2nd
202,47,4th
201,48,4th
196,99,2nd
174,92,3rd
198,79,1st
158,63,4th
139,73,6th
174,49,3rd
187,73,1st
162,85,3rd
159,53,1st
149,94,4th
139,48,6th
177,79,2nd
152,68,4th
165,64,1st
166,99,4th
199,105,2nd
150,48,4th
146,70,4th
169,63,1st
195,83,1st
190,78,1st
201,98,1st
171,96,3rd
163,47,3rd
160,55,1st
136,88,6th
159,84,3rd
151,84,4th
187,47,4th
149,67,4th
188,91,2nd
160,69,2nd
167,66,1st
189,100,2nd
189,70,2nd
201,86,1st
146,92,4th
205,59,4th
167,85,3rd
139,100,6th
146,81,4th
137,97,6th
198,57,4th
191,66,3rd
195,109,2nd
171,85,2nd
135,99,6th
178,107,3rd
143,109,5th
180,64,2nd
199,59,4th
136,45,6th
175,52,3rd
147,65,4th
174,66,1st
205,95,4th
136,109,6th
162,94,4th
188,95,2nd
180,97,2nd
206,90,4th
140,49,6th
181,75,1st
151,60,4th
190,49,4th
171,98,3rd
141,48,5th
165,77,2nd
137,54,6th
170,90,3rd
205,66,4th
196,48,4th
166,70,2nd
140,73,6th
162,89,3rd
179,49,4th
148,48,4th
176,101,3rd
140,77,6th
171,99,3rd
195,75,2nd
182,47,4th
183,77,1st
203,71,3rd
173,82,2nd
176,62,1st
175,50,3rd
199,89,1st
150,87,4th
135,45,6th
203,53,4th
149,75,4th
136,73,6th
140,96,6th
186,101,2nd
175,69,1st
146,56,4th
159,61,1st
167,57,1st
161,48,2nd
180,78,1st
163,55,1st
141,70,5th
142,56,5th
152,52,4th
185,65,2nd
136,57,6th
174,71,1st
177,102,3rd
186,102,2nd
154,52,4th
193,106,2nd
200,67,3rd
185,99,2nd
156,61,4th
188,103,2nd
144,60,5th
170,54,2nd
144,45,5th
199,110,2nd
196,63,3rd
191,82,1st
193,56,4th
178,64,1st
144,65,5th
150,110,4th
150,100,4th
176,73,1st
158,102,4th
169,77,2nd
186,93,2nd
179,52,3rd
172,70,1st
141,103,5th
159,79,3rd
163,81,3rd
148,63,4th
159,56,1st
189,97,2nd
205,81,4th
204,89,4th
193,58,4th
149,52,4th
151,108,4th
161,53,1st
203,46,4th
159,74,2nd
156,63,4th
144,79,5th
187,80,1st
140,98,6th
193,69,2nd
193,72,2nd
155,92,4th
201,109,2nd
175,52,3rd
200,54,4th
187,62,3rd
142,49,5th
182,83,2nd
197,85,1st
168,84,2nd
144,55,5th
148,106,4th
158,80,4th
170,75,2nd
138,67,6th
181,49,4th
154,99,4th
156,103,4th
197,81,1st
136,47,6th
150,57,4th
188,90,2nd
138,103,6th
163,46,3rd
194,96,2nd
181,61,2nd
183,76,1st
146,71,4th
151,106,4th
189,65,3rd
163,105,4th
192,99,2nd
137,93,6th
201,102,2nd
147,97,4th
154,77,4th
140,70,6th
188,59,3rd
151,63,4th
146,53,4th
206,70,4th
192,88,1st
162,98,4th
179,99,3rd
194,100,2nd
200,74,2nd
167,78,2nd
136,102,6th
200,74,2nd
168,91,3rd
182,64,2nd
186,82,1st
166,55,2nd
174,71,1st
139,77,6th
141,78,5th
158,95,4th
185,106,3rd
200,86,1st
190,106,2nd
140,76,6th
184,83,1st
178,94,2nd
167,58,1st
202,50,4th
174,47,4th
205,92,4th
157,104,4th
164,87,3rd
159,104,4th
184,107,3rd
200,67,3rd
204,57,4th
139,105,6th
138,93,6th
190,108,2nd
137,79,6th
198,49,4th
163,84,3rd
150,90,4th
141,59,5th
178,76,1st
144,46,5th
198,108,2nd
147,48,4th
194,45,4th
202,107,2nd
190,104,2nd
202,85,1st
156,79,4th
186,76,1st
171,78,2nd
180,81,2nd
168,109,4th
168,105,4th
169,82,2nd
180,78,1st
202,72,3rd
193,106,2nd
139,74,6th
203,46,4th
145,68,5th
139,99,6th
157,64,4th
183,59,3rd
141,76,5th
205,48,4th
152,56,4th
154,90,4th
160,57,1st
149,92,4th
204,50,4th
173,99,3rd
179,98,3rd
137,74,6th
174,85,2nd
140,64,6th
202,49,4th
193,81,1st
175,64,1st
151,78,4th
190,61,3rd
182,103,3rd
199,87,1st
189,93,2nd
203,64,4th
161,51,2nd
203,100,1st
139,81,6th
176,107,3rd
182,81,1st
193,84,1st
196,95,1st
178,46,4th
178,92,2nd
191,58,4th
181,94,2nd
168,84,2nd
176,110,4th
158,82,4th
201,88,1st
141,90,5th
194,71,2nd
192,81,1st
150,52,4th
136,93,6th
182,83,2nd
142,95,5th
148,78,4th
159,110,4th
177,69,1st
166,57,1st
167,69,1st
178,80,2nd
147,86,4th
153,59,4th
175,45,4th
171,90,3rd
166,92,3rd
145,109,5th
182,83,2nd
204,106,4th
153,99,4th
148,49,4th
182,92,2nd
151,53,4th
155,56,4th
191,69,2nd
168,96,3rd
156,80,4th
181,96,2nd
158,95,4th
192,106,2nd
161,81,3rd
150,104,4th
149,93,4th
189,101,2nd
182,99,2nd
153,91,4th
154,76,4th
176,109,4th
140,95,6th
187,70,1st
183,81,1st
150,53,4th
139,110,6th
198,55,4th
169,62,1st
158,94,4th
138,85,6th
160,53,1st
169,106,4th
143,107,5th
177,54,3rd
169,86,3rd
136,104,6th
202,88,1st
137,68,6th
173,74,1st
138,73,6th
143,53,5th
194,89,1st
206,108,4th
144,56,5th
172,58,2nd
176,85,2nd
140,68,6th
181,103,3rd
159,55,1st
205,51,4th
180,69,1st
139,70,6th
195,105,2nd
198,92,1st
143,50,5th
174,97,3rd
204,103,4th
198,97,1st
193,85,1st
157,83,4th
138,78,6th
155,50,4th
206,56,4th
173,91,3rd
174,61,1st
174,61,1st
145,58,5th
164,66,1st
199,53,4th
172,59,2nd
172,88,2nd
138,73,6th
205,87,4th
203,53,4th
162,62,1st
182,59,3rd
159,93,4th
150,69,4th
204,48,4th
203,62,4th
170,63,1st
171,59,1st
195,57,4th
198,103,2nd
151,53,4th
155,92,4th
172,49,3rd
150,107,4th
161,66,2nd
138,67,6th
140,63,6th
171,80,2nd
191,47,4th
140,95,6th
154,100,4th
206,104,4th
180,83,2nd
199,58,4th
163,108,4th
201,64,4th
188,62,3rd
190,86,1st
139,50,6th
142,76,5th
154,61,4th
146,78,4th
187,108,3rd
143,93,5th
188,58,3rd
192,102,2nd
199,87,1st
206,85,4th
184,83,1st
154,102,4th
206,95,4th
191,78,1st
164,70,2nd
187,53,4th
162,75,2nd
148,91,4th
187,95,2nd
180,108,3rd
186,45,4th
185,70,1st
190,58,3rd
204,90,4th
162,66,2nd
144,74,5th
170,110,4th
193,45,4th
168,84,2nd
206,66,4th
137,109,6th
163,85,3rd
191,88,1st
142,55,5th
137,84,6th
169,53,2nd
149,93,4th
194,48,4th
176,80,2nd
203,77,2nd
205,55,4th
145,76,5th
192,59,3rd
145,105,5th
205,73,4th
141,76,5th
189,105,2nd
180,96,2nd
157,94,4th
196,55,4th
159,99,4th
140,49,6th
141,110,5th
164,89,3rd
146,65,4th
190,51,4th
188,65,3rd
201,50,4th
185,93,2nd
135,67,6th
164,106,4th
143,80,5th
176,53,3rd
205,80,4th
186,103,2nd
150,64,4th
175,61,2nd
137,91,6th
175,69,1st
153,58,4th
150,86,4th
159,83,3rd
156,76,4th
137,66,6th
151,49,4th
167,83,2nd
152,102,4th
194,94,1st
166,108,4th
166,84,3rd
142,102,5th
185,84,1st
160,69,2nd
166,95,3rd
175,80,2nd
160,99,4th
170,45,4th
141,50,5th
180,59,3rd
198,87,1st
205,60,4th
156,97,4th
145,95,5th
138,75,6th
166,86,3rd
143,62,5th
162,105,4th
166,64,1st
135,48,6th
142,87,5th
153,86,4th
170,57,2nd
154,83,4th
175,61,2nd
193,96,2nd
189,51,4th
178,51,3rd
182,105,3rd
135,47,6th
143,67,5th
182,104,3rd
198,81,1st
188,77,1st
144,102,5th
185,79,1st
183,96,2nd
140,50,6th
176,58,2nd
188,82,1st
168,85,3rd
149,95,4th
187,46,4th
145,83,5th
154,102,4th
197,69,3rd
201,45,4th
166,58,1st
175,58,2nd
174,82,2nd
160,103,4th
186,79,1st
175,85,2nd
193,48,4th
165,99,4th
167,62,1st
170,55,2nd
205,58,4th
169,63,1st
144,45,5th
189,66,3rd
155,54,4th
203,70,3rd
202,46,4th
198,60,4th
176,94,3rd
205,94,4th
154,107,4th
204,105,4th
186,53,4th
191,85,1st
195,45,4th
149,63,4th
189,82,1st
168,75,2nd
187,70,1st
194,86,1st
174,82,2nd
165,92,3rd
165,54,2nd
204,70,4th
157,46,4th
206,77,4th
151,102,4th
204,78,4th
176,81,2nd
150,54,4th
206,71,4th
160,59,1st
180,110,3rd
186,69,2nd
183,63,2nd
181,52,4th
150,107,4th
172,88,2nd
200,89,1st
160,75,2nd
161,57,1st
146,109,4th
202,75,3rd
160,85,3rd
190,55,4th
202,110,2nd
202,105,2nd
168,64,1st
176,62,1st
204,63,4th
136,66,6th
180,71,1st
158,59,4th
158,90,4th
186,57,3rd
147,62,4th
162,60,1st
195,74,2nd
189,84,1st
188,70,2nd
198,103,2nd
175,64,1st
138,84,6th
205,70,4th
161,68,2nd
185,94,2nd
157,45,4th
135,101,6th
200,64,3rd
167,96,3rd
147,108,4th
161,109,4th
193,88,1st
195,51,4th
190,97,2nd
151,56,4th
150,75,4th
197,95,1st
153,68,4th
196,74,2nd
137,46,6th
137,71,6th
144,75,5th
184,109,3rd
179,94,2nd
140,63,6th
192,108,2nd
147,70,4th
201,56,4th
174,84,2nd
135,90,6th
201,58,4th
195,79,1st
178,100,3rd
153,85,4th
198,94,1st
190,108,2nd
160,51,2nd
204,99,4th
189,62,3rd
142,45,5th
201,63,4th
192,99,2nd
169,97,3rd
195,46,4th
189,50,4th
168,87,3rd
165,108,4th
142,86,5th
200,81,1st
172,78,2nd
164,90,3rd
180,66,1st
170,81,2nd
182,77,1st
156,69,4th
175,105,3rd
155,105,4th
150,71,4th
178,74,1st
157,107,4th
198,92,1st
139,45,6th
206,104,4th
202,86,1st
193,67,3rd
182,103,3rd
173,88,2nd
162,85,3rd
193,50,4th
180,52,3rd
170,81,2nd
190,84,1st
185,61,3rd
167,104,4th
140,100,6th
170,86,2nd
137,67,6th
202,54,4th
177,79,2nd
158,65,4th
183,55,3rd
189,56,4th
203,91,1st
143,101,5th
199,94,1st
188,66,2nd
143,64,5th
203,89,1st
206,87,4th
182,60,3rd
157,83,4th
163,102,4th
195,93,1st
197,46,4th
171,89,3rd
201,100,1st
202,104,2nd
206,91,4th
163,57,1st
135,68,6th
165,104,4th
187,94,2nd
185,104,3rd
194,61,3rd
191,63,3rd
203,64,4th
150,71,4th
149,86,4th
150,67,4th
175,56,3rd
150,79,4th
146,99,4th
194,45,4th
168,58,1st
162,74,2nd
137,88,6th
135,72,6th
142,91,5th
176,105,3rd
144,83,5th
189,89,1st
196,70,3rd
198,81,1st
148,71,4th
193,110,2nd
189,45,4th
159,48,2nd
193,106,2nd
191,66,3rd
158,88,4th
147,62,4th
145,106,5th
137,107,6th
142,109,5th
162,57,1st
156,53,4th
147,72,4th
161,62,1st
150,75,4th
176,76,1st
158,45,4th
185,98,2nd
176,106,3rd
154,93,4th
181,83,2nd
186,94,2nd
157,64,4th
173,59,2nd
199,58,4th
193,97,2nd
189,74,1st
199,83,1st
187,102,2nd
168,100,4th
204,74,4th
205,59,4th
170,64,1st
150,107,4th
198,46,4th
159,66,2nd
170,102,4th
151,69,4th
192,52,4th
162,94,4th
173,61,1st
201,69,3rd
184,49,4th
176,95,3rd
205,92,4th
135,59,6th
185,72,1st
166,93,3rd
196,67,3rd
185,81,1st
204,47,4th
138,110,6th
148,52,4th
161,89,3rd
197,88,1st
177,70,1st
206,84,4th
146,51,4th
136,84,6th
201,87,1st
154,80,4th
153,49,4th
199,50,4th
184,105,3rd
170,78,2nd
176,48,4th
164,46,3rd
152,66,4th
173,104,3rd
162,104,4th
165,88,3rd
195,103,2nd
146,75,4th
139,67,6th
187,61,3rd
160,95,4th
171,56,2nd
174,110,4th
205,67,4th
202,103,2nd
160,58,1st
194,93,1st
166,109,4th
174,75,1st
194,59,4th
176,75,1st
182,97,2nd
161,79,3rd
138,77,6th
175,98,3rd
184,99,2nd
193,74,2nd
181,53,3rd
154,67,4th
164,105,4th
164,89,3rd
161,94,4th
166,46,3rd
146,84,4th
148,79,4th
144,77,5th
194,101,2nd
142,95,5th
147,76,4th
190,73,1st
147,87,4th
147,101,4th
152,79,4th
153,71,4th
154,95,4th
173,52,3rd
202,73,3rd
164,86,3rd
202,81,2nd
169,54,2nd
200,78,2nd
198,95,1st
165,90,3rd
176,83,2nd
161,100,4th
179,54,3rd
192,75,1st
198,85,1st
198,104,2nd
196,74,2nd
169,95,3rd
206,92,4th
196,78,1st
171,68,1st
175,88,2nd
156,62,4th
159,84,3rd
141,93,5th
140,75,6th
184,75,1st
145,109,5th
194,83,1st
196,75,2nd
158,106,4th
135,108,6th
140,88,6th
146,77,4th
169,101,4th
184,70,1st
157,98,4th
139,103,6th
182,51,4th
142,91,5th
141,47,5th
199,48,4th
179,69,1st
168,108,4th
200,78,2nd
182,65,2nd
151,52,4th
175,66,1st
176,110,4th
165,70,2nd
187,49,4th
162,75,2nd
152,85,4th
138,57,6th
189,52,4th
175,52,3rd
195,58,4th
142,64,5th
179,106,3rd
146,57,4th
162,65,1st
156,90,4th
176,88,2nd
197,84,1st
189,55,4th
206,53,4th
163,100,4th
184,103,3rd
144,69,5th
138,70,6th
159,92,4th
148,74,4th
135,86,6th
184,77,1st
140,63,6th
185,72,1st
136,53,6th
158,59,4th
171,92,3rd
136,91,6th
148,55,4th
151,52,4th
136,95,6th
142,56,5th
180,101,3rd
196,102,2nd
197,85,1st
177,61,2nd
183,59,3rd
168,81,2nd
144,59,5th
149,81,4th
187,53,4th
156,50,4th
159,59,1st
170,100,3rd
135,95,6th
187,92,2nd
181,100,3rd
148,53,4th
165,97,4th
166,67,1st
205,56,4th
205,92,4th
180,98,3rd
180,104,3rd
146,52,4th
155,57,4th
200,60,4th
160,106,4th
143,79,5th
188,48,4th
170,69,1st
162,53,1st
172,103,3rd
197,72,2nd
194,109,2nd
162,96,4th
136,63,6th
203,56,4th
143,50,5th
152,105,4th
174,110,4th
148,60,4th
163,66,1st
173,78,2nd
150,73,4th
163,55,1st
175,58,2nd
185,100,2nd
157,109,4th
166,91,3rd
135,79,6th
180,90,2nd
137,102,6th
175,63,1st
190,92,2nd
180,95,2nd
205,45,4th
149,108,4th
177,79,2nd
136,91,6th
170,107,4th
206,62,4th
141,102,5th
138,53,6th
189,74,1st
184,64,2nd
166,79,2nd
170,73,2nd
160,97,4th
154,104,4th
200,73,3rd
148,84,4th
174,72,1st
206,105,4th
194,110,2nd
174,83,2nd
186,106,3rd
197,91,1st
171,87,2nd
173,98,3rd
188,59,3rd
192,95,2nd
139,107,6th
200,103,2nd
147,79,4th
182,102,3rd
199,73,3rd
172,81,2nd
144,108,5th
189,70,2nd
165,97,4th
167,94,3rd
149,58,4th
191,73,1st
177,72,1st
197,56,4th
160,98,4th
188,45,4th
160,103,4th
174,64,1st
180,109,3rd
158,67,4th
178,95,2nd
194,87,1st
140,55,6th
170,81,2nd
138,95,6th
136,74,6th
182,56,3rd
183,45,4th
203,100,1st
183,73,1st
199,84,1st
189,89,1st
166,55,2nd
141,91,5th
171,105,4th
199,58,4th
161,60,1st
204,85,4th
142,108,5th
175,45,4th
174,55,3rd
148,91,4th
136,65,6th
176,72,1st
179,61,2nd
182,63,2nd
139,60,6th
146,110,4th
158,86,4th
142,93,5th
173,108,4th
157,79,4th
204,57,4th
193,82,1st
185,67,2nd
195,73,2nd
135,52,6th
153,98,4th
137,90,6th
159,74,2nd
136,71,6th
174,71,1st
146,45,4th
179,56,3rd
198,89,1st
200,51,4th
149,80,4th
199,46,4th
165,77,2nd
195,90,1st
188,64,3rd
191,60,3rd
200,102,2nd
144,85,5th
188,52,4th
181,52,4th
138,47,6th
202,67,3rd
152,78,4th
181,105,3rd
196,63,3rd
165,64,1st
159,77,3rd
183,82,1st
206,79,4th
141,92,5th
186,79,1st
170,65,1st
143,82,5th
163,56,1st
173,56,2nd
172,76,2nd
149,63,4th
145,86,5th
181,78,1st
196,89,1st
183,99,2nd
179,57,3rd
171,91,3rd
181,79,1st
180,98,3rd
156,59,4th
157,57,4th
138,92,6th
141,88,5th
160,64,1st
158,108,4th
173,100,3rd
158,104,4th
159,83,3rd
149,72,4th
160,74,2nd
183,49,4th
192,82,1st
181,69,1st
158,82,4th
157,83,4th
197,77,2nd
201,74,3rd
141,64,5th
175,98,3rd
166,78,2nd
175,80,2nd
157,95,4th
149,47,4th
174,98,3rd
186,72,1st
144,96,5th
190,99,2nd
185,70,1st
175,61,2nd
150,77,4th
165,106,4th
154,85,4th
158,45,4th
193,82,1st
140,110,6th
196,66,3rd
139,63,6th
141,91,5th
170,57,2nd
171,68,1st
141,57,5th
162,56,1st
153,105,4th
171,73,1st
196,67,3rd
163,104,4th
151,74,4th
168,99,4th
191,95,2nd
154,85,4th
147,66,4th
176,79,2nd
162,97,4th
204,101,4th
172,74,2nd
191,45,4th
173,86,2nd
144,108,5th
154,45,4th
155,91,4th
